datetime,solar,grid,load,hour,day_of_week,net_power
2018-01-01 07:00:00+00:00,0.0,1.447,1.445,7.0,0,1.445
2018-01-01 07:15:00+00:00,0.0,1.633,1.631,7.25,0,1.631
2018-01-01 07:30:00+00:00,0.0,1.41,1.408,7.5,0,1.408
2018-01-01 07:45:00+00:00,0.0,1.696,1.693,7.75,0,1.693
2018-01-01 08:00:00+00:00,0.0,1.095,1.089,8.0,0,1.089
2018-01-01 08:15:00+00:00,0.0,1.251,1.245,8.25,0,1.245
2018-01-01 08:30:00+00:00,0.0,1.18,1.174,8.5,0,1.174
2018-01-01 08:45:00+00:00,0.0,0.914,0.908,8.75,0,0.908
2018-01-01 09:00:00+00:00,0.0,1.381,1.376,9.0,0,1.376
2018-01-01 09:15:00+00:00,0.0,0.754,0.75,9.25,0,0.75
2018-01-01 09:30:00+00:00,0.0,1.025,1.021,9.5,0,1.021
2018-01-01 09:45:00+00:00,0.0,0.71,0.705,9.75,0,0.705
2018-01-01 10:00:00+00:00,0.0,0.812,0.807,10.0,0,0.807
2018-01-01 10:15:00+00:00,0.0,0.737,0.732,10.25,0,0.732
2018-01-01 10:30:00+00:00,0.0,0.634,0.629,10.5,0,0.629
2018-01-01 10:45:00+00:00,0.0,0.902,0.897,10.75,0,0.897
2018-01-01 11:00:00+00:00,0.0,0.498,0.493,11.0,0,0.493
2018-01-01 11:15:00+00:00,0.0,0.974,0.969,11.25,0,0.969
2018-01-01 11:30:00+00:00,0.0,0.893,0.889,11.5,0,0.889
2018-01-01 11:45:00+00:00,0.0,0.688,0.6839999999999999,11.75,0,0.6839999999999999
2018-01-01 12:00:00+00:00,0.0,1.019,1.015,12.0,0,1.015
2018-01-01 12:15:00+00:00,0.0,0.476,0.471,12.25,0,0.471
2018-01-01 12:30:00+00:00,0.0,0.838,0.833,12.5,0,0.833
2018-01-01 12:45:00+00:00,0.0,0.802,0.797,12.75,0,0.797
2018-01-01 13:00:00+00:00,0.0,0.609,0.604,13.0,0,0.604
2018-01-01 13:15:00+00:00,0.0,0.916,0.911,13.25,0,0.911
2018-01-01 13:30:00+00:00,0.0,0.743,0.739,13.5,0,0.739
2018-01-01 13:45:00+00:00,0.005,0.981,0.986,13.75,0,0.981
2018-01-01 14:00:00+00:00,0.094,1.13,1.224,14.0,0,1.13
2018-01-01 14:15:00+00:00,0.169,1.047,1.216,14.25,0,1.047
2018-01-01 14:30:00+00:00,0.504,0.313,0.817,14.5,0,0.31299999999999994
2018-01-01 14:45:00+00:00,0.728,-0.158,0.57,14.75,0,-0.15800000000000003
2018-01-01 15:00:00+00:00,1.661,-0.875,0.786,15.0,0,-0.875
2018-01-01 15:15:00+00:00,1.19,-0.556,0.6339999999999999,15.25,0,-0.556
2018-01-01 15:30:00+00:00,1.839,-0.858,0.981,15.5,0,-0.858
2018-01-01 15:45:00+00:00,1.632,-0.467,1.1649999999999998,15.75,0,-0.4670000000000001
2018-01-01 16:00:00+00:00,1.359,-0.242,1.117,16.0,0,-0.242
2018-01-01 16:15:00+00:00,1.523,0.27,1.793,16.25,0,0.27
2018-01-01 16:30:00+00:00,1.672,-0.175,1.497,16.5,0,-0.17499999999999982
2018-01-01 16:45:00+00:00,2.12,-0.682,1.4380000000000002,16.75,0,-0.6819999999999999
2018-01-01 17:00:00+00:00,2.344,-1.07,1.2739999999999998,17.0,0,-1.07
2018-01-01 17:15:00+00:00,2.051,-0.569,1.4820000000000002,17.25,0,-0.569
2018-01-01 17:30:00+00:00,2.212,-1.047,1.1650000000000005,17.5,0,-1.0469999999999997
2018-01-01 17:45:00+00:00,1.956,-0.578,1.378,17.75,0,-0.5780000000000001
